"","x","y","group","foldchange"
"Loc1",0.015625,0.015625,"A",1
"Loc2",0.046875,0.015625,"A",1
"Loc3",0.078125,0.015625,"A",1
"Loc4",0.109375,0.015625,"A",1
"Loc5",0.140625,0.015625,"A",1
"Loc6",0.171875,0.015625,"A",1
"Loc7",0.203125,0.015625,"A",1
"Loc8",0.234375,0.015625,"A",1
"Loc9",0.265625,0.015625,"A",1
"Loc10",0.296875,0.015625,"A",1
"Loc11",0.328125,0.015625,"A",1
"Loc12",0.359375,0.015625,"A",1
"Loc13",0.390625,0.015625,"A",1
"Loc14",0.421875,0.015625,"A",1
"Loc15",0.453125,0.015625,"A",1
"Loc16",0.484375,0.015625,"A",1
"Loc17",0.515625,0.015625,"A",1
"Loc18",0.546875,0.015625,"A",1
"Loc19",0.578125,0.015625,"A",1
"Loc20",0.609375,0.015625,"A",1
"Loc21",0.640625,0.015625,"A",1
"Loc22",0.671875,0.015625,"A",1
"Loc23",0.703125,0.015625,"A",1
"Loc24",0.734375,0.015625,"A",1
"Loc25",0.765625,0.015625,"A",1
"Loc26",0.796875,0.015625,"A",1
"Loc27",0.828125,0.015625,"A",1
"Loc28",0.859375,0.015625,"A",1
"Loc29",0.890625,0.015625,"A",1
"Loc30",0.921875,0.015625,"A",1
"Loc31",0.953125,0.015625,"A",1
"Loc32",0.984375,0.015625,"A",1
"Loc33",0.015625,0.046875,"A",1
"Loc34",0.046875,0.046875,"A",1
"Loc35",0.078125,0.046875,"A",1
"Loc36",0.109375,0.046875,"A",1
"Loc37",0.140625,0.046875,"A",1
"Loc38",0.171875,0.046875,"A",1
"Loc39",0.203125,0.046875,"A",1
"Loc40",0.234375,0.046875,"A",1
"Loc41",0.265625,0.046875,"A",1
"Loc42",0.296875,0.046875,"A",1
"Loc43",0.328125,0.046875,"A",1
"Loc44",0.359375,0.046875,"A",1
"Loc45",0.390625,0.046875,"A",1
"Loc46",0.421875,0.046875,"A",1
"Loc47",0.453125,0.046875,"A",1
"Loc48",0.484375,0.046875,"A",1
"Loc49",0.515625,0.046875,"A",1
"Loc50",0.546875,0.046875,"A",1
"Loc51",0.578125,0.046875,"A",1
"Loc52",0.609375,0.046875,"A",1
"Loc53",0.640625,0.046875,"A",1
"Loc54",0.671875,0.046875,"A",1
"Loc55",0.703125,0.046875,"A",1
"Loc56",0.734375,0.046875,"A",1
"Loc57",0.765625,0.046875,"A",1
"Loc58",0.796875,0.046875,"A",1
"Loc59",0.828125,0.046875,"A",1
"Loc60",0.859375,0.046875,"A",1
"Loc61",0.890625,0.046875,"A",1
"Loc62",0.921875,0.046875,"A",1
"Loc63",0.953125,0.046875,"A",1
"Loc64",0.984375,0.046875,"A",1
"Loc65",0.015625,0.078125,"A",1
"Loc66",0.046875,0.078125,"A",1
"Loc67",0.078125,0.078125,"A",1
"Loc68",0.109375,0.078125,"A",1
"Loc69",0.140625,0.078125,"A",1
"Loc70",0.171875,0.078125,"A",1
"Loc71",0.203125,0.078125,"A",1
"Loc72",0.234375,0.078125,"A",1
"Loc73",0.265625,0.078125,"A",1
"Loc74",0.296875,0.078125,"A",1
"Loc75",0.328125,0.078125,"A",1
"Loc76",0.359375,0.078125,"A",1
"Loc77",0.390625,0.078125,"A",1
"Loc78",0.421875,0.078125,"A",1
"Loc79",0.453125,0.078125,"A",1
"Loc80",0.484375,0.078125,"A",1
"Loc81",0.515625,0.078125,"A",1
"Loc82",0.546875,0.078125,"A",1
"Loc83",0.578125,0.078125,"A",1
"Loc84",0.609375,0.078125,"A",1
"Loc85",0.640625,0.078125,"A",1
"Loc86",0.671875,0.078125,"A",1
"Loc87",0.703125,0.078125,"A",1
"Loc88",0.734375,0.078125,"A",1
"Loc89",0.765625,0.078125,"A",1
"Loc90",0.796875,0.078125,"A",1
"Loc91",0.828125,0.078125,"A",1
"Loc92",0.859375,0.078125,"A",1
"Loc93",0.890625,0.078125,"A",1
"Loc94",0.921875,0.078125,"A",1
"Loc95",0.953125,0.078125,"A",1
"Loc96",0.984375,0.078125,"A",1
"Loc97",0.015625,0.109375,"A",1
"Loc98",0.046875,0.109375,"A",1
